"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19776","login with invalid username and valid password","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","19025","login with valid username and invalid password","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","17111","User signup details filled and closed","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","19782","Successfull login","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","15950","login with invalid username and invalid password","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","11544","Login with valid credentials and logout","chromium","2026-05-26","failed","2026-05-26","","demo.spec.js","",""
"","18349","User sucessfully logged in and choose a product","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","27657","User sucessfully purchasing a monitor","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","28062","User sucessfully purchasing a phone","chromium","2026-05-26","passed","2026-05-26","","demo.spec.js","",""
"","17659","User signup details filled and successfull signin","chromium","2026-05-26","failed","2026-05-26","","demo.spec.js","",""
